recording,clip_idx,split,audio_feature_path,start_time,end_time,duration,speaker_id
recording07,0,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_0_speaker.npy,339.28,349.28,10.0,2
recording07,0,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_0_speaker.npy,339.28,349.28,10.0,2
recording07,1,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_1_speaker.npy,349.28,354.04,4.760000000000048,2
recording07,1,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_1_speaker.npy,349.28,354.04,4.760000000000048,2
recording07,2,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_2_speaker.npy,769.12,774.28,5.159999999999968,2
recording07,2,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_2_speaker.npy,769.12,774.28,5.159999999999968,2
recording07,3,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_3_speaker.npy,147.88,157.88,10.0,2
recording07,3,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_3_speaker.npy,147.88,157.88,10.0,2
recording07,4,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_4_speaker.npy,157.88,158.56,0.6800000000000068,2
recording07,4,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_4_speaker.npy,157.88,158.56,0.6800000000000068,2
recording07,5,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_5_speaker.npy,1037.96,1046.88,8.920000000000073,2
recording07,5,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_5_speaker.npy,1037.96,1046.88,8.920000000000073,2
recording07,6,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_6_speaker.npy,164.24,172.56,8.319999999999993,2
recording07,6,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_6_speaker.npy,164.24,172.56,8.319999999999993,2
recording07,7,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_7_speaker.npy,460.72,470.72,10.0,2
recording07,7,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_7_speaker.npy,460.72,470.72,10.0,2
recording07,8,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_8_speaker.npy,470.72,474.92,4.199999999999989,2
recording07,8,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_8_speaker.npy,470.72,474.92,4.199999999999989,2
recording07,9,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_9_speaker.npy,1009.4,1019.28,9.879999999999995,2
recording07,9,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_9_speaker.npy,1009.4,1019.28,9.879999999999995,2
recording07,10,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_10_speaker.npy,411.2,419.12,7.920000000000016,2
recording07,10,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_10_speaker.npy,411.2,419.12,7.920000000000016,2
recording07,11,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_11_speaker.npy,360.88,370.88,10.0,2
recording07,11,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_11_speaker.npy,360.88,370.88,10.0,2
recording07,12,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_12_speaker.npy,370.88,372.0,1.1200000000000043,2
recording07,12,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_12_speaker.npy,370.88,372.0,1.1200000000000043,2
recording07,13,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_13_speaker.npy,141.08,147.36,6.280000000000001,2
recording07,13,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_13_speaker.npy,141.08,147.36,6.280000000000001,2
recording07,14,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_14_speaker.npy,798.84,805.48,6.639999999999986,2
recording07,14,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_14_speaker.npy,798.84,805.48,6.639999999999986,2
recording07,15,train,/mnt/c5e5154b-1778-4612-bccd-c7729282dbe3/Pawan/MPII/facial_reaction_clips/train/recording07/audio_features/clip_15_speaker.npy,1020.72,1028.24,7.519999999999982,2
